,id,id_test,id_train,specie_test,specie_train,score
444,445,929,930,14,14,0.18549659129398627
445,446,928,930,14,14,0.2285075932220183
446,447,916,918,14,14,0.2710093366181998
447,448,1816,1817,14,14,0.44034767037552097
448,449,2300,2294,14,14,0.5258513427416306
449,450,2256,2255,14,14,0.22380862728861695
450,451,2231,1798,15,15,0.32032128933263654
451,452,1776,1793,15,15,0.0635798816569232
452,453,1783,1782,15,15,0.07998965460649728
453,454,2001,2240,15,15,1.1363577691018005
454,455,2000,2110,15,15,1.0696263645150144
455,456,1787,1786,15,15,0.05062975292125884
456,457,2232,1795,15,15,0.41571228361910795
457,458,2234,1795,15,15,0.5709872598799859
458,459,2229,1803,15,15,0.35711570642593354
459,460,1768,1770,15,15,0.10986470678297494
460,461,1773,1793,15,15,0.10788027444240546
461,462,1788,1789,15,15,0.041221465116082684
462,463,2237,1794,15,15,0.31352227103696617
463,464,1774,1793,15,15,0.08088687697494823
464,465,2241,2238,15,15,1.7080627748911978
465,466,1810,1771,15,15,1.3720068394298635
466,467,1796,1794,15,15,0.10727685546257004
467,468,1787,1786,15,15,0.05062975292125884
468,469,1788,1789,15,15,0.041221465116082684
469,470,2237,1794,15,15,0.31352227103696617
470,471,2229,1803,15,15,0.35711570642593354
471,472,1768,1770,15,15,0.10986470678297494
472,473,1788,1789,15,15,0.041221465116082684
473,474,1787,1786,15,15,0.05062975292125884
474,475,1810,1771,15,15,1.3720068394298635
475,476,2231,1798,15,15,0.32032128933263654
476,477,1796,1794,15,15,0.10727685546257004
477,478,1776,1793,15,15,0.0635798816569232
478,479,2237,1794,15,15,0.31352227103696617
479,480,2234,1795,15,15,0.5709872598799859
